"","X","firm_id","california","industry_segment","firm_founder_ceo","dot_com","firm_financial_crisis","time","ipo_value","total_investment"
"334",348,348,0,"Software",1,0,0,2.04,86644404.8326451,130163641.81385
"335",349,349,1,"Software",0,0,0,5.95,327492921.806028,70494482.3372645
"336",350,350,0,"Software",1,1,0,3.01,261062395.517152,14579879.2118373
"337",351,351,1,"Software",1,0,0,3,76636115.0921828,3404770.1785449
"338",352,352,0,"Electronics and Computer Hardware",0,0,0,13.02,10712523.1187979,1488463.59257184
"339",353,353,1,"Semiconductors",1,1,0,1.05,337795418.6733,40738819.8296922
"340",354,354,1,"Semiconductors",0,1,1,13.11,174322222.838109,31675244.3998113
"341",355,355,1,"Business Support Services",1,0,0,10.04,544384305.859303,39623383.7228062
"342",356,356,0,"Business Support Services",0,0,1,2.03,1118131695.09844,28453137.6806441
"343",357,357,0,"Software",1,1,0,4.97,159495457.474513,8485700.40922749
"344",358,358,0,"Software",0,0,0,2.07,206770698.392297,51225857.9189129
"345",359,359,1,"Electronics and Computer Hardware",0,0,1,12.05,250005131.096025,11976764.0323132
"346",360,360,1,"Communications and Networking",1,1,0,2.09,208007771.510736,32499946.4627951
"347",361,361,0,"Software",0,0,0,1.97,159435817.326821,4560532.72351839
"348",362,362,0,"Software",0,1,0,6.98,183585856.707518,18281094.5662265
"349",363,363,1,"Business Support Services",1,0,0,5.89,270976592.34426,47151953.6043592
"350",364,364,0,"Software",1,1,1,10.06,893506350.516851,13166483.1087702
"351",366,366,1,"Communications and Networking",0,1,0,0.85,195849487.250464,47360352.9024593
"352",367,367,1,"Software",0,1,0,3.15,511116956.668527,56010907.1348871
"353",368,368,1,"Business Support Services",0,0,0,2.88,412272047.965272,50038636.7506782
"354",371,371,0,"Software",1,0,1,5.05,176257931.488974,26644944.7459738
"355",372,372,0,"Business Support Services",1,1,0,16.15,129689151.141275,23293525.3978605
"356",373,373,1,"Business Support Services",1,0,0,5.04,385502409.009494,44920238.6231073
"357",374,374,1,"Communications and Networking",0,0,0,5.27,903449705.365025,49749501.4294467
"358",375,375,1,"Software",1,1,0,8.93,179375153.459296,24444529.3406261
"359",376,376,0,"Software",1,1,0,2.97,148216114.539592,25629484.8847158
"360",378,378,1,"Business Support Services",0,1,0,3.11,627391935.627367,26707286.8001617
"361",379,379,1,"Software",0,1,1,11.2,158321763.812006,23457691.6216673
"362",381,381,1,"Software",1,1,1,9.87,957607936.422472,32528038.5505734
"363",382,382,0,"Software",0,1,0,0.99,214140735.637605,28866288.9527144
"364",383,383,1,"Software",0,0,0,7.28,1729587884.45523,60624278.1289688
"365",384,384,1,"Business Support Services",0,0,0,7.89,522522707.401215,52095805.7685349
"366",385,385,1,"Consumer Information Services",0,0,0,2.01,476923185.882882,140666725.277953
"367",386,386,1,"Communications and Networking",0,0,1,2.96,265258133.894379,82875413.8398072
"368",387,387,0,"Business Support Services",0,0,0,7.06,94777538.1685102,67341887.4523614
"369",388,388,0,"Semiconductors",0,0,0,4.97,436195894.621908,44370172.0070679
"370",389,389,0,"Software",0,1,0,2.96,337640743.794798,37893607.9440937
"371",390,390,1,"Semiconductors",0,1,1,10.93,274873623.74852,18606787.6586899
"372",391,391,0,"Semiconductors",1,1,1,9.82,1240173343.57644,16646058.1730746
"373",392,392,0,"Software",1,1,0,2.05,189480561.615796,23245450.6527003
"374",393,393,0,"Software",0,1,0,4.25,230004400.657981,37463549.3165785
"375",394,394,1,"Software",0,0,0,1.98,163472117.730396,20961458.5016798
"376",395,395,1,"Communications and Networking",0,1,0,7.92,301351525.469707,14316338.5649763
"377",396,396,1,"Semiconductors",0,0,1,5.93,471539767.969174,66194239.466588
"378",397,397,0,"Retailers",0,1,0,3.03,282453078.231568,32158906.5054255
"379",398,398,1,"Software",1,1,0,4.9,821593249.286737,18936200.1512458
"380",399,399,1,"Renewable Energy",1,0,0,5.03,428666592.038495,816263681.644211
"381",400,400,1,"Renewable Energy",1,0,0,4.98,737694986.715147,103389089.803641
"382",401,401,1,"Software",0,0,0,3.01,340218970.786483,103880732.901039
"383",402,402,0,"Communications and Networking",0,1,0,2.17,1200477222.37858,59582353.1437082
"384",403,403,0,"Software",0,0,1,2.92,93240990.9476941,23729985.0877892
"385",404,404,0,"Software",0,0,1,3.07,267793039.641378,39335068.2169607
"386",405,405,0,"Software",0,1,0,3.98,589365445.511863,50838067.8988381
"387",406,406,1,"Software",0,0,0,6.01,1222863406.29275,30561878.8174073
"388",407,407,0,"Media and Content",0,0,0,8.05,143097389.232049,35599031.8418926
"389",408,408,0,"Business Support Services",0,0,0,8.89,94459714.5014815,55424816.3514153
"390",409,409,0,"Communications and Networking",1,0,1,2.95,569360864.883954,75800845.1282761
"391",410,410,0,"Materials and Chemicals",0,0,1,13.88,683884772.405402,4654732.49091944
"392",411,411,0,"Business Support Services",1,1,0,3.97,2180613290.28167,167223366.392181
"393",412,412,1,"Software",0,0,0,1.83,94016231.4191941,8484656.7322646
"394",414,414,1,"Business Support Services",1,0,0,5.15,443200579.086673,52416920.108325
"395",416,416,0,"Business Support Services",0,0,1,1.86,512648508.662116,267804287.18524
"396",417,417,1,"Materials and Chemicals",0,1,1,10.85,362118838.838185,103011583.393313
"397",418,418,0,"Business Support Services",0,0,0,8.04,93694214.4651717,35709810.038638
"398",419,419,1,"Electronics and Computer Hardware",0,0,1,7.93,231521430.601819,10715715.926392
"399",420,420,0,"Software",1,0,1,3.91,183831475.157281,27701496.6393659
"400",421,421,0,"Electronics and Computer Hardware",0,1,0,4.96,107547051.699342,17442948.0199327
"401",422,422,0,"Software",1,0,0,5.8,1369563619.31664,34192367.3423211
"402",423,423,1,"Software",0,1,0,3.05,277780835.715624,12211491.5903791
"403",424,424,1,"Business Support Services",0,0,1,4.93,266048451.857784,29527777.8412592
"404",425,425,1,"Media and Content",1,1,0,3.99,252641235.798755,45216471.8555496
"405",426,426,0,"",1,0,0,5.16,254511352.491684,37582083.7955049
"406",427,427,0,"Media and Content",1,0,1,2.93,411283370.160773,96797139.3847781
"407",428,428,1,"Semiconductors",1,0,1,3.83,140897889.774973,34591273.5956533
"408",429,429,0,"Communications and Networking",1,1,0,2.92,1655639208.65027,219374966.614549
"409",430,430,1,"Communications and Networking",1,0,0,10.03,241616906.787103,34750586.2383111
"410",431,431,0,"Communications and Networking",0,0,0,3,1680385385.18869,254219341.105629
"411",432,432,1,"Communications and Networking",0,1,0,2.01,874121552.468023,125659446.476575
"412",433,433,1,"Communications and Networking",1,0,0,9.01,243588041.043874,39983922.7487127
"413",434,434,1,"Vehicles and Parts",1,0,0,8.99,1193657547.93018,847547972.214667
"414",435,435,0,"Retailers",1,1,1,10.88,149900305.335694,17643217.6787325
"415",436,436,0,"Financial Institutions and Services",0,1,1,11,419384198.802048,42757791.754403
"416",437,437,1,"Consumer Information Services",1,0,0,2.11,286625200.883397,116508757.521135
"417",438,438,1,"Electronics and Computer Hardware",1,1,1,10.99,537620242.540772,88490078.8230747
"418",439,439,0,"Business Support Services",0,0,0,6.06,342428351.129499,81777033.6559743
"419",440,440,1,"Business Support Services",0,0,0,2.87,731149126.260068,6020813.8549526
"420",441,441,0,"Communications and Networking",1,1,0,2.89,443476779.074808,88320782.4751193
"421",442,442,1,"Consumer Information Services",1,0,0,3.91,261987146.143272,22146100.7370638
"422",443,443,1,"Software",1,0,0,2.86,138059457.254127,29685937.2982812
"423",444,444,1,"Software",1,1,0,10.16,245061559.447807,23844997.3838588
"424",445,445,1,"Communications and Networking",1,1,1,10.18,785419085.366918,48981096.6995411
"425",446,446,1,"Communications and Networking",0,1,0,8.12,182305790.003953,35781802.0676946
"426",448,448,1,"Consumer Information Services",0,0,0,5.86,9423825998.23081,1038455136.43935
"427",449,449,0,"Software",1,0,1,10.96,152487929.490931,22141583.3932982
"428",450,450,0,"Personal Goods",1,0,1,4.94,472946579.343107,9149995.9991478
"429",451,451,0,"Software",1,0,1,4.98,146689255.628772,9038827.29546056
"430",452,452,1,"Retailers",1,0,1,4.06,221338110.029875,38276243.9765452
"431",453,453,1,"Business Support Services",1,0,0,2.89,413819315.279292,29647459.5957893
"432",455,455,1,"Software",0,1,0,4.04,203076436.3746,25405011.1017342
"433",456,456,0,"Software",1,0,0,5.01,312032841.046887,26458023.071268
"434",457,457,0,"Retailers",1,1,0,8.94,155617401.766351,34933541.4952903
"435",458,458,0,"Business Support Services",1,1,0,4.79,474926208.78284,37163624.3205614
"436",460,460,1,"Business Support Services",0,0,1,12,272853069.144153,35764523.6303744
"437",461,461,0,"Software",0,0,0,2.9,96573699.4799142,3129704.03331776
"438",462,462,1,"Software",1,1,0,3.08,146110683.701681,22985473.7895747
"439",463,463,1,"Business Support Services",0,1,0,3.92,401671842.086273,19708114.254584
"440",464,464,1,"Communications and Networking",0,1,0,4.11,399512655.093779,42484973.2166242
"441",465,465,0,"Business Support Services",1,0,0,3.03,105962731.433077,5523625.52133722
"442",466,466,1,"Software",0,1,0,3.91,207142185.105491,31928481.2955361
"443",467,467,1,"Semiconductors",1,1,1,9.97,184174272.411994,12017109.6929572
"444",468,468,1,"Semiconductors",0,1,0,2.89,272851977.734059,52922333.9710593
"445",469,469,0,"Business Support Services",1,0,1,1.98,248930425.569078,53004268.1814837
"446",470,470,0,"Business Support Services",1,0,1,4.08,400949884.038335,60518702.0484728
"447",471,471,0,"Communications and Networking",0,0,0,7.77,183594852.634894,11157483.537282
"448",473,473,0,"Communications and Networking",0,1,0,5.03,376940911.610607,29455169.8693033
"449",474,474,1,"Communications and Networking",0,0,0,6.97,251873868.916237,49591797.2502722
"450",475,475,0,"Communications and Networking",0,0,1,3.07,125607183.018394,57833225.2612629
"451",476,476,1,"Semiconductors",0,0,1,5.94,161185430.106949,50270601.4505295
"452",477,477,0,"Consumer Information Services",1,0,0,5.87,53945670.7041035,13181580.547593
"453",478,478,1,"Business Support Services",0,0,0,6,196181537.448979,104815476.974308
"454",479,479,0,"Media and Content",1,0,0,2.95,305808913.753677,119586199.018424
"455",480,480,0,"Construction and Civil Engineering",0,0,0,6.83,122650940.892384,5365198.86252369
"456",481,481,1,"Business Support Services",1,1,0,8.01,461833040.716197,47565867.8492886
"457",482,482,0,"Software",0,1,0,8.11,1042881091.25616,33344920.1705469
"458",483,483,1,"Business Support Services",0,0,0,3.88,108226303.979245,36693346.415199
"459",484,484,0,"Business Support Services",0,0,1,4.8,148674215.95599,69098528.9638696
"460",485,485,1,"Retailers",1,1,0,2.88,5411656093.18348,372381714.355007
"461",486,486,0,"Retailers",0,0,0,12.11,153534215.126507,13638551.3673537
"462",487,487,1,"Software",0,1,0,4.05,391593942.535012,92623829.081005
"463",488,488,0,"Software",0,1,0,7.09,420410847.734996,17499537.3254758
"464",489,489,1,"Media and Content",0,1,0,3.02,434121931.168845,42773059.0111024
"465",490,490,1,"Business Support Services",1,0,0,5.97,3306344382.9784,135918500.086501
"466",491,491,1,"Software",1,0,0,1.95,155614445.063806,51639322.2840453
"467",492,492,1,"Financial Institutions and Services",0,0,0,2.88,371933636.56788,70817521.0142147
"468",493,493,1,"Consumer Information Services",1,0,0,7.09,634075759.66353,37126442.1453998
"469",494,494,1,"Business Support Services",1,0,0,5.1,199027188.702117,54522771.6059542
"470",495,495,0,"Retailers",0,1,0,2.89,202112695.841002,51800533.1682448
"471",496,496,1,"Media and Content",1,1,0,4.86,432858308.364498,33939429.2096739
"472",497,497,0,"Travel and Leisure",0,0,0,3.17,508885195.520938,54564606.6134504
"473",498,498,1,"Financial Institutions and Services",0,0,1,5.93,259365027.49551,46337679.491382
"474",499,499,0,"Consumer Information Services",1,0,0,4.94,1244739365.54052,53187980.5885784
"475",500,500,1,"Consumer Information Services",1,0,0,8.05,5641862057.45941,1167626625.15148
"476",501,501,1,"Renewable Energy",0,0,0,5.97,168304938.135642,88796607.1977555
"477",502,502,0,"Consumer Information Services",1,0,0,7.9,8349203649.97024,735984046.126756
"478",503,503,0,"Electronics and Computer Hardware",1,0,0,3.91,1241277589.16862,68176398.5088492
"479",504,504,1,"Software",1,0,0,5.1,761929812.630655,118686366.950825
"480",505,505,0,"Business Support Services",0,0,0,5.91,537721862.369383,22725654.5342438
"481",506,506,1,"Utilities",1,0,0,4.05,925269866.042713,316626372.165132
"482",507,507,0,"Software",0,0,0,2.88,397735591.694765,55534666.2032564
"483",508,508,1,"Business Support Services",1,0,0,8.09,639684088.031194,41994029.0220747
"484",509,509,1,"Electronics and Computer Hardware",1,0,0,4.04,3031841416.21652,40547350.6093376
"485",510,510,0,"Personal Goods",1,0,0,5.16,377569041.001046,20890018.1005087
"486",511,511,1,"Electronics and Computer Hardware",0,0,0,4.99,1105659691.87442,62083263.3930314
"487",512,512,1,"Business Support Services",1,0,0,4.94,454514329.891967,53824483.2170995
"488",513,513,0,"Media and Content",0,0,0,5,357056646.205054,65228170.7303842
"489",515,515,1,"Financial Institutions and Services",1,0,0,3.94,2388881257.01309,454325291.253495
"490",516,516,0,"Retailers",1,0,0,3.13,1806517868.98924,78876429.3205771
"491",517,517,1,"Business Support Services",0,0,0,3.82,389449592.896354,14711881.6385184
"492",518,518,0,"Software",0,0,0,3.98,289349830.445544,56351251.0712269
"493",519,519,1,"Electronics and Computer Hardware",0,0,0,4,2213867891.83203,296283700.231624
"494",520,520,1,"Electronics and Computer Hardware",1,0,0,5.08,2190789898.52088,134689272.733207
