"","carat","cut","color","clarity","depth","table","price","x","y","z","clarity_level"
"332",0.79,"Ideal","H","IF",61.3,56,4046,5.96,5.98,3.66,"high"
"333",1.14,"Very Good","F","I1",61.3,55.8,4050,6.74,6.76,4.13,"low"
"334",1.23,"Good","D","I1",63.7,58,4050,6.79,6.72,4.3,"low"
"335",1.5,"Premium","F","I1",62.6,57,4096,7.33,7.21,4.55,"low"
"336",1.23,"Ideal","H","I1",61.8,56,4098,6.91,6.85,4.25,"low"
"337",0.81,"Ideal","H","IF",61.6,58,4111,5.98,6.01,3.69,"high"
"338",1.14,"Ideal","F","I1",61.3,56,4124,6.76,6.74,4.13,"low"
"339",1.12,"Ideal","D","I1",60.6,55,4139,6.73,6.76,4.09,"low"
"340",1.32,"Fair","H","I1",65.8,55,4140,6.87,6.83,4.51,"low"
"341",1.5,"Premium","G","I1",60.4,55,4140,7.4,7.32,4.45,"low"
"342",1.5,"Good","G","I1",63.7,57,4140,7.28,7.21,4.62,"low"
"343",0.73,"Ideal","G","IF",62.3,56,4142,5.72,5.78,3.58,"high"
"344",1.41,"Fair","H","I1",64.7,58,4145,7.05,7,4.55,"low"
"345",0.76,"Premium","F","IF",60.6,60,4150,5.89,5.85,3.56,"high"
"346",1.18,"Ideal","E","I1",61.6,56,4153,6.79,6.82,4.19,"low"
"347",0.59,"Ideal","D","IF",60.7,58,4161,5.45,5.49,3.32,"high"
"348",1.51,"Fair","G","I1",65.6,54,4167,7.28,7.1,4.72,"low"
"349",0.65,"Ideal","E","IF",62.3,56,4184,5.52,5.56,3.45,"high"
"350",0.8,"Premium","G","IF",62.6,58,4193,5.93,5.89,3.7,"high"
"351",1.21,"Good","E","I1",64,57,4201,6.73,6.67,4.29,"low"
"352",0.59,"Ideal","D","IF",60.9,57,4208,5.4,5.43,3.3,"high"
"353",1.12,"Ideal","D","I1",60.6,55,4215,6.76,6.73,4.09,"low"
"354",0.56,"Ideal","D","IF",62.4,56,4216,5.24,5.28,3.28,"high"
"355",0.76,"Premium","F","IF",60.6,60,4223,5.85,5.89,3.56,"high"
"356",0.72,"Ideal","F","IF",62,57,4228,5.71,5.78,3.56,"high"
"357",1.18,"Ideal","E","I1",61.6,56,4229,6.82,6.79,4.19,"low"
"358",0.8,"Premium","G","IF",62.6,58,4268,5.89,5.93,3.7,"high"
"359",1.29,"Fair","G","I1",66,58,4277,6.82,6.75,4.48,"low"
"360",0.43,"Premium","H","I1",62,59,581,4.83,4.78,2.98,"low"
"361",1.5,"Fair","J","I1",68.8,57,4284,6.94,6.87,4.75,"low"
"362",0.56,"Ideal","D","IF",61.9,57,4293,5.28,5.31,3.28,"high"
"363",1.45,"Fair","F","I1",64.8,67,4320,7.16,7,4.64,"low"
"364",1.27,"Good","F","I1",59.2,64,4324,7.06,6.99,4.16,"low"
"365",0.25,"Ideal","G","IF",61.1,57,582,4.06,4.07,2.48,"high"
"366",1.52,"Premium","G","I1",62.3,60,4345,7.34,7.28,4.56,"low"
"367",1.2,"Good","D","I1",63.6,60,4346,6.72,6.67,4.26,"low"
"368",1.5,"Fair","I","I1",71.3,58,4368,6.85,6.81,4.87,"low"
"369",1.21,"Ideal","F","I1",62,56,4377,6.84,6.8,4.23,"low"
"370",0.74,"Ideal","F","IF",61.9,55,4383,5.79,5.84,3.6,"high"
"371",1.44,"Premium","I","I1",62.7,55,4387,7.21,7.18,4.51,"low"
"372",0.5,"Fair","F","I1",69.8,55,584,4.89,4.8,3.38,"low"
"373",1.51,"Premium","H","I1",60.9,56,4404,7.38,7.26,4.46,"low"
"374",1.28,"Ideal","G","I1",61.6,57,4428,6.93,6.96,4.28,"low"
"375",0.56,"Very Good","D","IF",60.7,56,4440,5.34,5.36,3.25,"high"
"376",1.58,"Premium","I","I1",60.2,61,4459,7.55,7.51,4.53,"low"
"377",0.28,"Ideal","H","IF",63,55,586,4.14,4.19,2.62,"high"
"378",0.28,"Ideal","H","IF",62,56,586,4.2,4.23,2.61,"high"
"379",1.54,"Good","J","I1",61.7,60,4492,7.26,7.32,4.5,"low"
"380",1.36,"Premium","G","I1",62.1,57,4509,7.11,7.06,4.4,"low"
"381",1.28,"Ideal","G","I1",61.6,57,4509,6.96,6.93,4.28,"low"
"382",0.27,"Ideal","I","IF",60.5,57,587,4.2,4.22,2.55,"high"
"383",0.9,"Premium","I","IF",62.6,59,4516,6.15,6.12,3.84,"high"
"384",1.35,"Ideal","G","I1",62.5,57,4560,7.01,7.04,4.39,"low"
"385",0.9,"Very Good","I","IF",62.6,59,4596,6.12,6.15,3.84,"high"
"386",0.76,"Ideal","F","IF",59.6,58,4596,5.95,5.96,3.55,"high"
"387",1.51,"Very Good","J","I1",63.3,57,4600,7.31,7.23,4.6,"low"
"388",1.5,"Good","I","I1",62.6,63,4620,7.19,7.25,4.52,"low"
"389",0.56,"Ideal","D","IF",60.8,58,4632,5.35,5.31,3.24,"high"
"390",1.35,"Ideal","G","I1",62.5,57,4643,7.04,7.01,4.39,"low"
"391",1.52,"Fair","H","I1",69.7,55,4648,6.92,6.89,4.81,"low"
"392",1.52,"Fair","H","I1",65.4,62,4648,7.1,7.02,4.62,"low"
"393",1.74,"Very Good","H","I1",63.2,55,4677,7.62,7.59,4.8,"low"
"394",0.7,"Very Good","E","IF",60.3,59,4679,5.72,5.76,3.46,"high"
"395",1.33,"Fair","F","I1",62,56,4698,7.05,7.01,4.36,"low"
"396",1.5,"Fair","I","I1",66.1,57,4704,7.12,7.04,4.68,"low"
"397",1.5,"Fair","I","I1",69.7,56,4704,6.94,6.9,4.82,"low"
"398",0.34,"Ideal","D","I1",62.5,57,413,4.47,4.49,2.8,"low"
"399",0.34,"Ideal","D","I1",61.4,55,413,4.5,4.52,2.77,"low"
"400",1.5,"Good","G","I1",64,61,4731,7.15,7.04,0,"low"
"401",0.81,"Ideal","G","IF",62.4,54,4751,5.93,5.99,3.72,"high"
"402",0.76,"Very Good","E","IF",61.9,56,4798,5.83,5.85,3.62,"high"
"403",0.63,"Very Good","D","IF",59.6,59,4800,5.55,5.59,3.32,"high"
"404",0.82,"Very Good","G","IF",61.9,57,4844,5.96,6,3.7,"high"
"405",1.64,"Fair","G","I1",64.5,60,4849,7.44,7.35,4.76,"low"
"406",1.47,"Fair","H","I1",66.7,59,4898,6.98,6.94,4.64,"low"
"407",0.59,"Ideal","D","IF",60.9,60,4916,5.41,5.39,3.29,"high"
"408",1.5,"Fair","H","I1",65.7,58,4939,7.07,7.02,4.63,"low"
"409",1.5,"Fair","H","I1",66.6,54,4939,7.05,7.01,4.68,"low"
"410",1.55,"Good","G","I1",63.6,58,4965,7.34,7.29,4.65,"low"
"411",1.54,"Premium","H","I1",62,60,4980,7.32,7.4,4.56,"low"
"412",1.5,"Good","E","I1",62.4,64,4989,7.22,7.26,4.52,"low"
"413",0.7,"Premium","D","IF",60,59,5027,5.75,5.81,3.47,"high"
"414",1.32,"Premium","E","I1",62.2,58,5027,7.05,6.97,4.36,"low"
"415",1.5,"Fair","I","I1",65.1,59,5040,7.12,6.96,4.58,"low"
"416",1.95,"Premium","H","I1",60.3,59,5045,8.1,8.05,4.87,"low"
"417",2,"Premium","J","I1",61.5,59,5051,8.11,8.06,4.97,"low"
"418",1.29,"Ideal","D","I1",61.3,56,5065,6.99,7.05,4.3,"low"
"419",1.44,"Very Good","E","I1",61.1,62,5068,7.15,7.23,4.39,"low"
"420",1.54,"Premium","H","I1",62,60,5071,7.4,7.32,4.56,"low"
"421",1.51,"Fair","I","I1",65.7,61,5074,7.08,7.02,4.63,"low"
"422",1.83,"Fair","J","I1",70,58,5083,7.34,7.28,5.12,"low"
"423",1.5,"Very Good","J","I1",63.3,58,5141,7.27,7.23,4.59,"low"
"424",1.29,"Ideal","D","I1",61.3,56,5158,7.05,6.99,4.3,"low"
"425",1.44,"Premium","E","I1",61.1,62,5161,7.23,7.15,4.39,"low"
"426",1.57,"Ideal","H","I1",62.8,56,5170,7.42,7.36,4.64,"low"
"427",1.69,"Very Good","J","I1",60.2,61,5182,7.7,7.79,4.66,"low"
"428",2.06,"Premium","J","I1",61.2,58,5203,8.1,8.07,4.95,"low"
"429",0.26,"Good","E","IF",59.6,61,597,4.13,4.16,2.47,"high"
"430",1.72,"Fair","J","I1",68.5,59,5240,7.31,7.24,4.98,"low"
"431",1.69,"Premium","J","I1",60.2,61,5277,7.79,7.7,4.66,"low"
"432",1.5,"Fair","H","I1",68.9,56,5292,7,6.9,4.79,"low"
"433",1.5,"Good","F","I1",60.6,62,5313,7.22,7.24,4.38,"low"
"434",1.11,"Good","J","IF",58.3,62,5361,6.77,6.84,3.97,"high"
"435",2.14,"Fair","J","I1",69.4,57,5405,7.74,7.7,5.36,"low"
"436",0.26,"Ideal","H","IF",61.1,57,600,4.16,4.12,2.53,"high"
"437",0.41,"Good","G","I1",63.8,56,600,4.74,4.7,3.01,"low"
"438",1.5,"Premium","F","I1",60.6,62,5410,7.24,7.22,4.38,"low"
"439",1.5,"Ideal","I","I1",61.8,57,5412,7.31,7.39,4.54,"low"
"440",2.15,"Fair","J","I1",65.5,57,5430,8.01,7.95,5.23,"low"
"441",1.5,"Fair","D","I1",64.7,62,5460,7.19,7.04,4.6,"low"
"442",0.37,"Ideal","J","IF",61.9,54,601,4.63,4.68,2.88,"high"
"443",1.5,"Ideal","I","I1",61.8,57,5510,7.39,7.31,4.54,"low"
"444",1.16,"Ideal","J","IF",60.6,56,5519,6.79,6.86,4.14,"high"
"445",1.96,"Fair","F","I1",66.6,60,5554,7.59,7.56,5.04,"low"
"446",1.5,"Ideal","I","I1",61.3,57,5593,7.36,7.39,4.52,"low"
"447",1.51,"Good","E","I1",57.5,59,5601,7.56,7.51,4.33,"low"
"448",2.22,"Fair","J","I1",66.7,56,5607,8.04,8.02,5.36,"low"
"449",1.7,"Fair","D","I1",64.7,56,5617,7.46,7.37,4.8,"low"
"450",1.5,"Fair","H","I1",65.5,58,5645,7.02,6.96,4.58,"low"
"451",1.51,"Good","E","I1",63.6,60,5647,7.3,7.26,4.63,"low"
"452",2,"Fair","I","I1",66,60,5667,7.78,7.74,5.1,"low"
"453",0.9,"Very Good","G","IF",63.1,58,5670,6.18,6.09,3.87,"high"
"454",1.85,"Very Good","H","I1",63.3,56,5688,7.8,7.75,4.92,"low"
"455",1.5,"Ideal","I","I1",61.3,57,5695,7.39,7.36,4.52,"low"
"456",2.01,"Fair","I","I1",67.4,58,5696,7.71,7.64,5.17,"low"
"457",2.01,"Fair","I","I1",55.9,64,5696,8.48,8.39,4.71,"low"
"458",0.26,"Ideal","G","IF",62.2,55,605,4.09,4.13,2.55,"high"
"459",0.26,"Ideal","G","IF",62.5,57,605,4.06,4.1,2.55,"high"
"460",2.27,"Fair","J","I1",67.6,55,5733,8.05,8,5.43,"low"
"461",1.51,"Fair","I","I1",65.1,57,5750,7.16,7.12,4.65,"low"
"462",0.9,"Very Good","G","IF",60.1,59,5754,6.22,6.26,3.75,"high"
"463",0.92,"Ideal","H","IF",62.5,55,5758,6.25,6.3,3.92,"high"
"464",1.68,"Good","E","I1",64.3,60,5765,7.44,7.48,4.8,"low"
"465",0.9,"Good","G","IF",63.1,58,5771,6.09,6.18,3.87,"high"
"466",1.5,"Very Good","G","I1",60.3,61,5808,7.34,7.39,4.44,"low"
"467",0.9,"Good","G","IF",61.8,61,5855,6.12,6.17,3.8,"high"
"468",1.81,"Fair","J","I1",68,57,5859,7.43,7.39,5.04,"low"
"469",1.68,"Good","E","I1",64.3,60,5871,7.48,7.44,4.8,"low"
"470",0.93,"Ideal","G","IF",62.2,58,5879,6.25,6.22,3.88,"high"
"471",2,"Fair","H","I1",69.8,54,5914,7.6,7.56,5.29,"low"
"472",1.5,"Premium","G","I1",60.3,61,5914,7.39,7.34,4.44,"low"
"473",1.55,"Very Good","E","I1",61.6,58,5974,7.42,7.52,4.6,"low"
"474",1.51,"Good","D","I1",57,64,5979,7.48,7.53,4.28,"low"
"475",1.44,"Good","G","I1",63.2,54.8,5987,7.18,7.21,4.54,"low"
"476",1.82,"Fair","H","I1",67.3,58,5993,7.5,7.47,5.04,"low"
"477",1.7,"Very Good","F","I1",63.1,56,5998,7.62,7.51,4.78,"low"
"478",2.03,"Fair","H","I1",64.4,59,6002,7.91,7.85,5.07,"low"
"479",2.03,"Fair","H","I1",66.6,57,6002,7.81,7.75,5.19,"low"
"480",1.66,"Good","F","I1",62.1,57.7,6025,7.56,7.6,4.71,"low"
"481",1.5,"Very Good","F","I1",63.2,57,6028,7.29,7.24,4.59,"low"
"482",1.51,"Premium","H","I1",61.9,58,6038,7.39,7.34,4.56,"low"
"483",1.49,"Very Good","F","I1",62.6,53.6,6064,7.28,7.31,4.57,"low"
"484",1.51,"Good","D","I1",57,64,6088,7.53,7.48,4.28,"low"
"485",2.06,"Good","H","I1",64.3,58,6091,8.03,7.99,5.15,"low"
"486",1.44,"Ideal","G","I1",63.2,55,6096,7.21,7.18,4.54,"low"
"487",1.66,"Ideal","F","I1",62.1,58,6135,7.6,7.56,4.71,"low"
"488",1.51,"Very Good","E","I1",62,58,6139,7.31,7.37,4.55,"low"
"489",1.96,"Fair","I","I1",66.8,55,6147,7.62,7.6,5.08,"low"
"490",2.08,"Premium","H","I1",61.7,57,6150,8.23,8.18,5.06,"low"
"491",1.49,"Ideal","F","I1",62.6,54,6175,7.31,7.28,4.57,"low"
"492",1.53,"Premium","G","I1",62.8,58,6183,7.39,7.28,4.61,"low"
"493",1.54,"Ideal","G","I1",61.6,55,6186,7.4,7.43,4.57,"low"
"494",1.54,"Good","E","I1",63.3,60,6261,7.26,7.3,4.61,"low"
"495",2.49,"Fair","J","I1",66.3,58,6289,8.26,8.18,5.45,"low"
"496",0.29,"Ideal","H","IF",62.2,55,607,4.25,4.28,2.65,"high"
"497",0.29,"Ideal","H","IF",60.7,57,607,4.3,4.33,2.62,"high"
"498",0.29,"Ideal","H","IF",62.1,55,607,4.26,4.29,2.65,"high"
"499",1.21,"Good","J","IF",62.1,60,6299,6.81,6.87,4.25,"high"
"500",1.54,"Ideal","G","I1",61.6,55,6299,7.43,7.4,4.57,"low"
"501",1.5,"Premium","D","I1",61.7,62,6300,7.28,7.24,4.48,"low"
"502",1.34,"Ideal","D","I1",61.7,55,6303,7.12,7.08,4.38,"low"
"503",1.83,"Premium","G","I1",62,58,6313,7.84,7.8,4.85,"low"
"504",2.01,"Fair","G","I1",70.2,57,6315,7.53,7.5,5.27,"low"
"505",1.69,"Premium","I","I1",62.4,60,6320,7.56,7.59,4.73,"low"
"506",2.14,"Fair","H","I1",66.4,56,6328,8,7.92,5.29,"low"
"507",0.81,"Ideal","F","IF",61.5,55,6338,5.98,6.05,3.7,"high"
"508",2,"Premium","H","I1",59.7,62,6344,8.19,8.02,4.85,"low"
"509",2.02,"Fair","G","I1",68,55,6346,7.77,7.72,5.27,"low"
"510",2.02,"Fair","G","I1",65.6,57,6346,7.87,7.8,5.15,"low"
"511",2.15,"Premium","H","I1",62.9,57,6357,8.25,8.2,5.18,"low"
"512",1.53,"Good","H","I1",62.3,55.6,6361,7.34,7.38,4.59,"low"
"513",2.03,"Fair","G","I1",66.3,56,6377,7.81,7.75,5.16,"low"
"514",2.03,"Premium","G","I1",61.1,58,6377,8.11,8.06,4.94,"low"
"515",1.7,"Ideal","H","I1",61.3,55,6397,7.7,7.63,4.7,"low"
"516",1.49,"Fair","H","I1",66.9,61,6425,6.93,6.89,4.62,"low"
"517",1.69,"Premium","I","I1",62.4,60,6436,7.59,7.56,4.73,"low"
"518",1.7,"Good","I","I1",63.6,58,6474,7.52,7.48,4.77,"low"
"519",1.53,"Ideal","H","I1",62.3,56,6477,7.38,7.34,4.59,"low"
"520",1.51,"Premium","E","I1",59,62,6494,7.41,7.36,4.36,"low"
"521",2.07,"Fair","G","I1",67.7,56,6503,7.76,7.73,5.25,"low"
"522",3,"Very Good","H","I1",63.1,55,6512,9.23,9.1,5.77,"low"
"523",2,"Good","J","I1",63.6,62,6521,7.97,7.8,5.02,"low"
"524",2,"Fair","F","I1",66.1,57,6532,7.84,7.7,5.14,"low"
"525",2.21,"Premium","H","I1",62.2,58,6535,8.31,8.27,5.16,"low"
"526",0.63,"Ideal","D","IF",62.5,55,6549,5.47,5.5,3.43,"high"
"527",2.22,"Fair","H","I1",70.1,55,6564,7.77,7.74,5.44,"low"
"528",2.01,"Very Good","H","I1",58.1,63,6592,8.3,8.19,4.79,"low"
"529",2.1,"Fair","G","I1",67.4,59,6597,7.82,7.76,5.24,"low"
"530",2.1,"Fair","G","I1",64.6,58,6597,8.05,8.01,5.19,"low"
"531",0.63,"Ideal","D","IF",62.5,55,6607,5.5,5.47,3.43,"high"
"532",1.69,"Ideal","H","I1",62,56,6636,7.61,7.66,4.73,"low"
"533",2.25,"Fair","H","I1",67.7,58,6653,8.01,7.97,5.41,"low"
"534",0.8,"Ideal","F","IF",60.8,56,6674,5.99,6.05,3.66,"high"
"535",2.01,"Good","F","I1",64,56,6686,7.93,7.91,5.07,"low"
"536",1.04,"Very Good","H","IF",62,55,6694,6.51,6.55,4.05,"high"
"537",1.01,"Premium","H","IF",62.1,59,6702,6.47,6.41,4,"high"
"538",1.05,"Good","H","IF",64.3,58,6703,6.5,6.35,4.13,"high"
"539",2.03,"Fair","F","I1",65.6,56,6753,7.89,7.86,5.16,"low"
"540",1.69,"Ideal","H","I1",62,56,6757,7.66,7.61,4.73,"low"
"541",1.65,"Premium","G","I1",62,59,6788,7.53,7.57,4.68,"low"
"542",1.52,"Ideal","H","I1",61.6,56,6793,7.75,7.73,4.77,"low"
"543",2,"Fair","J","I1",66.5,56,6796,7.93,7.8,5.23,"low"
"544",0.9,"Good","E","IF",63.6,56,6804,6.11,6.02,3.86,"high"
"545",0.28,"Very Good","F","IF",62.2,55,612,4.23,4.26,2.64,"high"
"546",0.28,"Good","E","IF",64.6,58,612,4.09,4.12,2.65,"high"
"547",2.17,"Fair","G","I1",55.6,62,6817,8.75,8.69,4.8,"low"
"548",1.74,"Premium","F","I1",59.9,58,6821,7.88,7.82,4.7,"low"
"549",0.8,"Very Good","D","IF",63.3,57,6834,5.85,5.87,3.71,"high"
"550",2,"Good","G","I1",63.9,58,6854,7.99,7.91,5.08,"low"
"551",2.32,"Fair","H","I1",70.5,55,6860,7.93,7.9,5.58,"low"
"552",1.18,"Very Good","I","IF",63.3,58,6867,6.69,6.73,4.25,"high"
"553",2.72,"Fair","J","I1",68.2,56,6870,8.46,8.43,5.76,"low"
"554",1.83,"Fair","H","I1",68,57,6887,7.47,7.44,5.07,"low"
"555",1.65,"Premium","G","I1",62,59,6912,7.57,7.53,4.68,"low"
"556",0.95,"Ideal","G","IF",59.8,59,6951,6.36,6.43,3.82,"high"
"557",1.72,"Very Good","F","I1",60.5,59,6962,7.71,7.8,4.69,"low"
"558",2.23,"Very Good","G","I1",63.5,57,7006,8.24,8.2,5.22,"low"
"559",2.11,"Fair","F","I1",67.6,57,7019,7.88,7.83,5.31,"low"
"560",2.01,"Good","H","I1",63.9,59,7024,8.01,7.92,5.09,"low"
"561",2.05,"Good","G","I1",56.9,58,7026,8.46,8.3,4.77,"low"
"562",1.7,"Ideal","H","I1",62.6,54.1,7068,7.58,7.63,4.77,"low"
"563",2.25,"Fair","G","I1",64.9,58,7069,8.15,8.12,5.28,"low"
"564",1.72,"Premium","F","I1",60.5,59,7089,7.8,7.71,4.69,"low"
"565",1.63,"Ideal","F","I1",62,55.1,7100,7.5,7.57,4.68,"low"
"566",2.27,"Fair","G","I1",68.6,56,7131,7.99,7.94,5.47,"low"
"567",0.5,"Fair","F","I1",71,57,613,4.87,4.79,3.43,"low"
"568",0.5,"Fair","F","I1",68.4,54,613,4.94,4.82,3.35,"low"
"569",1.2,"Very Good","I","IF",59.1,61,7141,6.91,6.99,4.11,"high"
"570",1.7,"Ideal","H","I1",62.6,54,7197,7.63,7.58,4.77,"low"
"571",2,"Ideal","H","I1",62.5,57,7204,8.05,7.98,5.01,"low"
"572",1.19,"Ideal","I","IF",61.7,56,7207,6.78,6.81,4.19,"high"
"573",1.01,"Premium","G","IF",61.3,58,7220,6.4,6.48,3.95,"high"
"574",2.3,"Premium","G","I1",60.2,59,7226,8.71,8.56,5.19,"low"
"575",1.63,"Ideal","F","I1",62,55,7229,7.57,7.5,4.68,"low"
"576",1,"Premium","H","IF",60.6,57,7235,6.54,6.47,3.94,"high"
"577",2.31,"Fair","G","I1",67.4,56,7257,8.05,7.99,5.41,"low"
"578",2,"Fair","F","I1",64.9,57,7258,7.99,7.82,5.14,"low"
"579",1.75,"Ideal","H","I1",61.5,54.9,7276,7.75,7.78,4.78,"low"
"580",0.3,"Ideal","I","IF",62,57,615,4.28,4.3,2.66,"high"
"581",0.3,"Ideal","I","IF",62.5,56,615,4.26,4.28,2.67,"high"
"582",2.01,"Fair","F","I1",58.7,66,7294,8.3,8.19,4.84,"low"
"583",1.05,"Ideal","H","IF",61.2,55,7329,6.62,6.59,4.04,"high"
"584",1.01,"Premium","G","IF",61.3,58,7352,6.48,6.4,3.95,"high"
"585",1.2,"Ideal","I","IF",61.5,56,7367,6.79,6.84,4.19,"high"
"586",2.04,"Premium","I","I1",61.1,61,7403,8.25,8.12,5,"low"
"587",1.75,"Ideal","H","I1",61.5,55,7409,7.78,7.75,4.78,"low"
"588",2.03,"Premium","H","I1",59.4,59,7421,8.31,8.22,4.91,"low"
"589",2.12,"Premium","G","I1",60,58,7508,8.39,8.28,4.99,"low"
"590",1.72,"Premium","F","I1",60.1,58,7532,7.77,7.74,4.66,"low"
"591",1.3,"Premium","I","IF",61.8,58,7621,6.95,7,4.31,"high"
"592",1.17,"Very Good","H","IF",59.3,59,7644,6.92,6.98,4.12,"high"
"593",1.75,"Ideal","H","I1",61.6,56,7680,7.73,7.75,4.77,"low"
"594",1,"Very Good","G","IF",62.2,61,7682,6.38,6.41,3.98,"high"
"595",0.9,"Very Good","E","IF",63.9,55,7747,6.05,6.09,3.88,"high"
"596",1.3,"Premium","I","IF",61.8,58,7760,7,6.95,4.31,"high"
"597",1.21,"Ideal","H","IF",61,57,7789,6.79,6.89,4.17,"high"
"598",1.72,"Ideal","E","I1",62.2,55,7802,7.7,7.67,4.78,"low"
"599",1,"Premium","G","IF",62.2,61,7822,6.41,6.38,3.98,"high"
"600",1,"Premium","G","IF",61.4,59,7822,6.47,6.39,3.95,"high"
"601",2.11,"Very Good","G","I1",63.2,57,7834,8.13,8.07,5.12,"low"
"602",2.5,"Fair","G","I1",64.7,57,7854,8.48,8.44,5.47,"low"
"603",0.83,"Very Good","D","IF",59.7,53,7889,6.14,6.23,3.69,"high"
"604",2.2,"Fair","I","I1",66.3,56,7934,8.05,8,5.32,"low"
"605",2.01,"Good","H","I1",61.7,63,7959,7.91,7.94,4.89,"low"
"606",1.01,"Very Good","G","IF",60,61,7974,6.41,6.45,3.86,"high"
"607",1.01,"Very Good","G","IF",63,60,7974,6.31,6.35,3.99,"high"
"608",1,"Very Good","G","IF",58.3,62,8002,6.51,6.57,3.81,"high"
"609",3.01,"Premium","I","I1",62.7,58,8040,9.1,8.97,5.67,"low"
"610",3,"Fair","H","I1",67.1,57,8044,8.93,8.84,5.97,"low"
"611",2,"Fair","H","I1",66.8,57,8064,7.81,7.72,5.19,"low"
"612",2.01,"Very Good","H","I1",61.7,63,8104,7.94,7.91,4.89,"low"
"613",1.01,"Premium","G","IF",60,61,8120,6.45,6.41,3.86,"high"
"614",1.01,"Premium","G","IF",63,60,8120,6.35,6.31,3.99,"high"
"615",1.02,"Ideal","G","IF",62.5,57,8162,6.37,6.44,4,"high"
"616",1.73,"Good","E","I1",63.6,59,8220,7.56,7.6,4.82,"low"
"617",2.33,"Premium","H","I1",60.7,58,8220,8.64,8.56,5.22,"low"
"618",1.04,"Very Good","G","IF",61.7,58,8225,6.47,6.6,4.03,"high"
"619",2.04,"Very Good","I","I1",59.3,61,8257,8.25,8.3,4.91,"low"
"620",1.17,"Ideal","H","IF",61,53,8266,6.89,6.85,4.19,"high"
"621",0.25,"Ideal","G","IF",61.7,56,624,4.04,4.1,2.51,"high"
"622",1.21,"Premium","H","IF",62.2,58,8294,6.8,6.83,4.24,"high"
"623",1.02,"Ideal","G","IF",62.5,57,8311,6.44,6.37,4,"high"
"624",1.73,"Good","E","I1",63.6,59,8370,7.6,7.56,4.82,"low"
"625",2.04,"Premium","I","I1",59.3,61,8408,8.3,8.25,4.91,"low"
"626",1.06,"Very Good","G","IF",61.2,57,8415,6.52,6.56,4,"high"
"627",2.68,"Premium","G","I1",58.6,60,8419,9.11,9.07,5.33,"low"
"628",1.23,"Ideal","H","IF",61.3,57,8431,6.87,6.92,4.23,"high"
"629",1.21,"Premium","H","IF",62.2,58,8446,6.83,6.8,4.24,"high"
"630",2.5,"Premium","H","I1",59.9,60,8467,8.75,8.67,5.22,"low"
"631",1.02,"Premium","G","IF",61.8,59,8489,6.41,6.46,3.98,"high"
"632",2.34,"Premium","I","I1",61.5,60,8491,8.47,8.43,5.2,"low"
"633",1.23,"Ideal","H","IF",61.3,57,8585,6.92,6.87,4.23,"high"
"634",1.1,"Very Good","G","IF",60.5,55,8592,6.77,6.71,4.08,"high"
"635",1.01,"Very Good","G","IF",62.8,57,8621,6.39,6.42,4.02,"high"
"636",1.02,"Very Good","G","IF",62.3,59,8624,6.36,6.45,3.99,"high"
"637",1.02,"Premium","G","IF",61.8,59,8643,6.46,6.41,3.98,"high"
"638",1.09,"Very Good","G","IF",62.9,57,8650,6.52,6.58,4.12,"high"
"639",1.04,"Very Good","G","IF",60.7,58,8655,6.52,6.65,4,"high"
"640",2.16,"Ideal","H","I1",62.2,56,8709,8.31,8.26,5.15,"low"
"641",2.5,"Fair","G","I1",65.1,59,8711,8.55,8.39,5.53,"low"
"642",1.01,"Ideal","G","IF",62.8,57,8778,6.42,6.39,4.02,"high"
"643",1.22,"Very Good","G","IF",62,59,8793,6.8,6.85,4.23,"high"
"644",2.74,"Fair","J","I1",64.9,61,8807,8.76,8.66,5.65,"low"
"645",1.04,"Premium","G","IF",60.7,58,8813,6.65,6.52,4,"high"
"646",1.05,"Ideal","G","IF",62.5,56,8850,6.48,6.52,4.06,"high"
"647",1.05,"Premium","G","IF",60.6,60,8850,6.57,6.59,3.99,"high"
"648",1.01,"Ideal","G","IF",61.5,58,8869,6.44,6.47,3.97,"high"
"649",1.01,"Ideal","G","IF",60.8,59,8869,6.47,6.5,3.94,"high"
"650",1.08,"Ideal","G","IF",61.3,57,8873,6.59,6.62,4.05,"high"
"651",1.04,"Ideal","G","IF",62.1,54,8921,6.53,6.55,4.06,"high"
"652",1.02,"Ideal","G","IF",62.3,57,8955,6.43,6.5,4.03,"high"
"653",1.01,"Ideal","G","IF",62.2,61,8957,6.34,6.4,3.96,"high"
"654",1.12,"Very Good","G","IF",60.9,57,8962,6.68,6.79,4.1,"high"
"655",1.12,"Good","G","IF",59.6,56,8973,6.8,6.85,4.07,"high"
"656",1.05,"Ideal","G","IF",62.5,56,9012,6.52,6.48,4.06,"high"
"657",1.05,"Premium","G","IF",60.6,60,9012,6.59,6.57,3.99,"high"
"658",1.05,"Very Good","G","IF",58.9,61,9013,6.64,6.67,3.92,"high"
"659",1.08,"Ideal","G","IF",61.3,57,9035,6.62,6.59,4.05,"high"
"660",2.16,"Ideal","F","I1",61,57,9036,8.4,8.32,5.1,"low"
"661",1.04,"Premium","G","IF",61.3,58,9039,6.52,6.43,3.97,"high"
"662",1.1,"Very Good","G","IF",59.8,56,9053,6.75,6.82,4.06,"high"
"663",1.01,"Very Good","G","IF",61.1,56,9063,6.45,6.48,3.95,"high"
"664",2.25,"Ideal","E","I1",61.4,54,9072,8.52,8.46,5.21,"low"
